 	$	ஂ	ஃ	அ	ஆ	இ	ஈ	உ	ஊ	எ	ஏ	ஐ	ஒ	ஓ	ஔ	க	ங	ச	ஜ	ஞ	ட	ண	த	ந	ன	ப	ம	ய	ர	ற	ல	ள	ழ	வ	ஶ	ஷ	ஸ	ஹ	ா	ி	ீ	ு	ூ	ெ	ே	ை	ொ	ோ	ௌ	்	௦	௧	௨	௩	௪	௫	௬	௭	௮	௯	௰	௱	௲	௳	௴	௵	௶	௷	௸	௹	௺
ண	11036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33494	20882	7723	291	993	5811	2375	35628	4181	19402	29705	61862	6821	46811	7249	8067	511	303	36189	11	94	471	189	54725	226552	11294	70929	3076	4734	9193	89718	1505	2988	28	846985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
த	154636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110266	43407	25282	1426	3795	63738	28060	235886	36237	262559	162682	194528	37468	202028	148912	227384	45779	14145	225002	41	879	5453	1938	1087982	1892008	112078	1962606	69625	170772	257777	407226	159764	140231	1344	2743149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ந	3068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48381	2358	7232	1070	2491	104135	5957	13106	7937	16111	7137	29984	5777	24979	7744	40142	3434	1478	14760	4	2018	1377	403	218560	324464	87199	35482	21763	60338	47631	6307	8563	39058	441	1179644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ன	358342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56938	29721	22992	1048	2326	14002	4711	180541	29285	20711	55180	100125	5395	174218	6543	22013	3341	832	108433	4	440	6483	1874	409603	377950	16155	378070	23760	26085	102523	310590	7381	56320	217	2616329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ப	21155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112902	32845	32894	3178	11678	999483	99082	355235	31943	69711	33765	43977	85804	192871	73574	96890	44144	41619	128437	37	1569	10265	2891	750958	760955	47984	636541	112227	292190	201802	77716	172092	464664	3592	2547589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ம	25675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94366	22384	20900	2551	6615	65531	86468	122100	23586	140705	17462	21076	37291	132350	75889	141174	15698	13189	13149	30	887	8324	10856	842254	390142	77027	561843	95574	133953	213773	325817	57505	70347	3471	2778438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ய	166631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95761	44444	28101	1632	1340	46658	27747	219645	24181	108396	104417	173769	5578	155025	50493	129305	20097	3414	116073	84	860	8810	770	766262	788055	12814	467437	64958	66839	199153	232662	25161	127931	266	446379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ர	41858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92749	64318	121314	7909	5288	45172	86076	183721	16766	74056	113908	206443	19337	74288	4067	37962	12648	3895	116442	34	4620	19077	7409	609070	876746	70451	1622692	39135	62821	92435	281329	16365	108671	1710	2208923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ற	86036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45311	22529	10476	353	2094	7528	2704	218833	32230	78672	70525	48528	2924	8122	5695	20278	4020	3148	100340	3	71	404	218	241850	444741	28634	530015	3160	10083	55072	234610	6280	41438	254	987038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ல	134900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113791	40937	21785	3242	2387	30268	5540	84602	21570	41358	54483	97441	28141	55507	7978	11727	3761	842	75258	15	1360	6215	1875	453842	491839	29370	361591	26067	40717	142655	509325	9502	72057	555	2018664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ள	77522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37213	19436	8177	203	2840	6688	1312	144952	8618	49332	39901	67290	5410	106190	5928	10416	5428	442	77023	4	267	2101	460	354403	605123	7520	427877	12161	19076	71354	449543	2027	54082	157	1239997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ழ	2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64326	25068	3991	29	606	2495	620	8625	23666	8616	15855	16523	721	8606	7419	18507	278	448	11630	1	9	30	40	29246	211787	1370	198541	1220	750	2010	68002	257	538	13	144816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
வ	21928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70016	38069	63721	2623	5279	86304	41555	375251	65470	172230	24776	64753	26337	670226	54629	111817	91010	80966	10593	25	547	6414	1761	631590	1282428	110723	531485	15506	219660	322037	309226	14269	77523	3069	103186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஶ	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	14	4	1	1	3	1	61	23	29	9	62	31	44	1	3	1	1	14	9	1	18	3	133	137	52	71	18	1	33	10	1	40	2	2078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஷ	2142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4320	2735	1050	275	24	1394	3786	7154	728	30444	4797	9471	5770	7150	49	1953	54	5	1981	1	498	546	612	32380	37154	6550	5180	3161	5885	11232	4664	370	4413	108	96853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஸ	3981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2662	1442	688	220	323	1394	283	3781	1647	6528	2466	7152	667	7938	45	3369	34	7	2477	2	100	1579	1089	27440	50988	4875	19571	4546	3888	3646	13455	472	5379	319	527318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஹ	1816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2285	1101	2106	975	112	1830	997	4336	960	5458	2716	6767	1484	14745	268	4067	3010	145	3552	1	303	3247	629	41356	26497	7703	6766	4464	15626	9955	7366	2754	10964	326	18751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ா	519991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309132	122636	195872	86925	11156	494967	179572	564184	79653	1079773	185314	505349	424846	1025599	161715	702511	280853	66168	449134	132	20076	62516	17088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ி	557016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1181661	92666	280347	28383	26388	892432	68059	588229	160274	1202990	524051	209143	1838129	1543741	756031	1383368	134790	150860	436684	186	47868	79873	8449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ீ	19795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40663	33057	36532	2644	708	91306	15595	67929	7003	62563	26364	20940	20911	193404	15841	27568	11220	26465	35120	44	7603	30077	1761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ு	1671896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2068383	109458	180249	13686	16883	569705	148401	1035126	444954	181697	713271	2025296	59490	343937	345645	150450	485128	100008	846951	94	35633	20041	7013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
